h_id,avg_demand,size_band,model_path,capacity_kwh,initial_soc,max_charge_kw,max_discharge_kw,eff,soc_max,soc_min,pv_size_kwp,pv_shading_factor,pv_time_shift_hours
MAC004499,0.3501899027830587,B3_medium,models/CNN_LSTM.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004501,0.5790494296577946,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004502,0.43973964930291504,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004507,0.2513542986639205,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004508,0.22801209343050274,B2_small,models/CNN_LSTM.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004513,0.25807937262357417,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004521,0.6562601393060836,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC004528,0.3152949936628644,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004531,0.35635852344740176,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004532,0.5784023553443176,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004533,0.4685447824250105,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004540,0.3856335023130545,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004545,0.3400161069338825,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004546,0.38856896916983524,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004550,0.2621572665610477,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004563,0.6237635192807353,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC004569,0.20560218630650612,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004571,0.5365693917881283,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004572,0.28604325092944655,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004574,0.5673926912864385,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004583,0.13412357416561047,B1_smallest,models/LSTM64x32_global.keras,3.0,0.5,1.5,1.5,0.93,0.95,0.2,1.68,1.0,0.0
MAC004847,0.5021059885139417,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004848,0.2831846747570765,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004853,0.3393541402724969,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004856,0.2821085762515843,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004857,0.35834004006125897,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004862,0.3426783375580904,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004867,0.23848669200464723,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
